"Reservoir","Site","Date","WaterLevel_m"
"BVR",50,2021-07-15,11.0078638654861
"BVR",50,2021-07-16,10.9965571660417
"BVR",50,2021-07-17,10.9909300361806
"BVR",50,2021-07-18,11.0007592247222
"BVR",50,2021-07-19,10.9882779189583
"BVR",50,2021-07-20,10.9761191464583
"BVR",50,2021-07-21,10.9634334416667
"BVR",50,2021-07-22,10.9473913773611
"BVR",50,2021-07-23,10.9328082817361
"BVR",50,2021-07-24,10.9194021826389
"BVR",50,2021-07-25,10.9196075232639
"BVR",50,2021-07-26,10.9356638563889
"BVR",50,2021-07-27,10.9653277904167
"BVR",50,2021-07-28,10.9527365350694
"BVR",50,2021-07-29,10.9395939383333
"BVR",50,2021-07-30,10.9253854535417
"BVR",50,2021-07-31,10.9089789911111
"BVR",50,2021-08-01,10.8996638422222
"BVR",50,2021-08-02,10.8827032860417
"BVR",50,2021-08-03,10.8665699592361
"BVR",50,2021-08-04,10.8504406885417
"BVR",50,2021-08-05,10.8336941646528
"BVR",50,2021-08-06,10.817910605
"BVR",50,2021-08-07,10.8037305854167
"BVR",50,2021-08-08,10.7883284450694
"BVR",50,2021-08-09,10.7687380001418
"BVR",50,2021-08-10,10.7521178028472
"BVR",50,2021-08-11,10.7419953429861
"BVR",50,2021-08-12,10.73216948625
"BVR",50,2021-08-13,10.7189939336111
"BVR",50,2021-08-14,10.7067154334028
"BVR",50,2021-08-15,10.7078303569444
"BVR",50,2021-08-16,10.8123255572917
"BVR",50,2021-08-17,10.8460106909028
"BVR",50,2021-08-18,10.86921056
"BVR",50,2021-08-19,10.8683359610417
"BVR",50,2021-08-20,10.8809367772222
"BVR",50,2021-08-21,10.8716550188194
"BVR",50,2021-08-22,10.8589672135417
"BVR",50,2021-08-23,10.8287001354745
"BVR",50,2021-08-24,10.8023165515385
"BVR",50,2021-08-25,10.7881026065972
"BVR",50,2021-08-26,10.7730908669444
"BVR",50,2021-08-27,10.7604330479167
"BVR",50,2021-08-28,10.7473779472917
"BVR",50,2021-08-29,10.7335662370833
"BVR",50,2021-08-30,10.7233178929167
"BVR",50,2021-08-31,10.7178718394444
"BVR",50,2021-09-01,10.7833360241667
"BVR",50,2021-09-02,10.7920040784722
"BVR",50,2021-09-03,10.7766158447917
"BVR",50,2021-09-04,10.7610577614583
"BVR",50,2021-09-05,10.7474035152778
"BVR",50,2021-09-06,10.717516491
"BVR",50,2021-09-07,10.6861163282639
"BVR",50,2021-09-08,10.6704485126389
"BVR",50,2021-09-09,10.6707753193056
"BVR",50,2021-09-10,10.6720076527778
"BVR",50,2021-09-11,10.6546619109028
"BVR",50,2021-09-12,10.6392589738194
"BVR",50,2021-09-13,10.6233763291667
"BVR",50,2021-09-14,10.6077085859722
"BVR",50,2021-09-15,10.5926097123611
"BVR",50,2021-09-16,10.5784334591667
"BVR",50,2021-09-17,10.5649476140278
"BVR",50,2021-09-18,10.5502330569444
"BVR",50,2021-09-19,10.5343327392361
"BVR",50,2021-09-20,10.5195012068056
"BVR",50,2021-09-21,10.5201643809722
"BVR",50,2021-09-22,10.7207162597917
"BVR",50,2021-09-23,10.8761841014583
"BVR",50,2021-09-24,10.88361830125
"BVR",50,2021-09-25,10.8805742622917
"BVR",50,2021-09-26,10.8732574724306
"BVR",50,2021-09-27,10.8630186890972
"BVR",50,2021-09-28,10.8540884361806
"BVR",50,2021-09-29,10.843495395
"BVR",50,2021-09-30,10.8325520072222
"BVR",50,2021-10-01,10.8201116247222
"BVR",50,2021-10-02,10.8093479371528
"BVR",50,2021-10-03,10.8007877319444
"BVR",50,2021-10-04,10.7994019905556
"BVR",50,2021-10-05,10.7904980299306
"BVR",50,2021-10-06,10.7881307820833
"BVR",50,2021-10-07,10.7836224870139
"BVR",50,2021-10-08,10.77546441625
"BVR",50,2021-10-09,10.7686319695139
"BVR",50,2021-10-10,10.758044360625
"BVR",50,2021-10-11,10.7477976823611
"BVR",50,2021-10-12,10.7265996692806
"BVR",50,2021-10-13,10.7053358486111
"BVR",50,2021-10-14,10.6943235069444
"BVR",50,2021-10-15,10.6824393186806
"BVR",50,2021-10-16,10.6733022765278
"BVR",50,2021-10-17,10.6567947734722
"BVR",50,2021-10-18,10.6392228309722
"BVR",50,2021-10-19,10.623480411875
"BVR",50,2021-10-20,10.6096676152083
"BVR",50,2021-10-21,10.5972944482639
"BVR",50,2021-10-22,10.5878949902083
"BVR",50,2021-10-23,10.57316152875
"BVR",50,2021-10-24,10.559132526875
