"DateTime","Depth","period","type","var","value","scenario"
2015-11-23,"0.1","calib","mod","wl",10.9593283158577,"baseline"
2015-11-23,"0.1","calib","obs","wl",11.3,"baseline"
2015-11-24,"0.1","calib","mod","wl",10.9555163522723,"baseline"
2015-11-24,"0.1","calib","obs","wl",11.3,"baseline"
2015-11-25,"0.1","calib","mod","wl",10.9534153049745,"baseline"
2015-11-25,"0.1","calib","obs","wl",11.3,"baseline"
2015-11-26,"0.1","calib","mod","wl",10.9517775050726,"baseline"
2015-11-26,"0.1","calib","obs","wl",11.3,"baseline"
2015-11-27,"0.1","calib","mod","wl",10.9509517673396,"baseline"
2015-11-27,"0.1","calib","obs","wl",11.3,"baseline"
2015-11-28,"0.1","calib","mod","wl",10.9504427719693,"baseline"
2015-11-28,"0.1","calib","obs","wl",11.3,"baseline"
2015-11-29,"0.1","calib","mod","wl",10.9500410180666,"baseline"
2015-11-29,"0.1","calib","obs","wl",11.3,"baseline"
2015-11-30,"0.1","calib","mod","wl",10.9503158896575,"baseline"
2015-11-30,"0.1","calib","obs","wl",11.3,"baseline"
2015-12-01,"0.1","calib","mod","wl",10.9629136134173,"baseline"
2015-12-01,"0.1","calib","obs","wl",11.3,"baseline"
2015-12-02,"0.1","calib","mod","wl",10.9852356266356,"baseline"
2015-12-02,"0.1","calib","obs","wl",11.3,"baseline"
2015-12-03,"0.1","calib","mod","wl",10.9918236878748,"baseline"
2015-12-03,"0.1","calib","obs","wl",11.3,"baseline"
2015-12-04,"0.1","calib","mod","wl",10.9855911494139,"baseline"
2015-12-04,"0.1","calib","obs","wl",11.3,"baseline"
2015-12-05,"0.1","calib","mod","wl",10.9813932699746,"baseline"
2015-12-05,"0.1","calib","obs","wl",11.3,"baseline"
2015-12-06,"0.1","calib","mod","wl",10.9783722954706,"baseline"
2015-12-06,"0.1","calib","obs","wl",11.3,"baseline"
2015-12-07,"0.1","calib","mod","wl",10.9762003021636,"baseline"
2015-12-07,"0.1","calib","obs","wl",11.3,"baseline"
2015-12-08,"0.1","calib","mod","wl",10.9760812618776,"baseline"
2015-12-08,"0.1","calib","obs","wl",11.3,"baseline"
2015-12-09,"0.1","calib","mod","wl",10.9748388083624,"baseline"
2015-12-09,"0.1","calib","obs","wl",11.3,"baseline"
2015-12-10,"0.1","calib","mod","wl",10.9737969489244,"baseline"
2015-12-10,"0.1","calib","obs","wl",11.3,"baseline"
2015-12-11,"0.1","calib","mod","wl",10.9731776310633,"baseline"
2015-12-11,"0.1","calib","obs","wl",11.3,"baseline"
