"dateTime","PRESsfc_110_SFC","PRESsfc_110_SFC.1","PRESsfc_110_SFC.2","PRESsfc_110_SFC.3"
2020-06-02 16:00:00,97863.6171875,97127.6171875,97343.296875,98220.7421875
2020-06-02 17:00:00,97836.390625,97092.7109375,97303.2734375,98167.90625
2020-06-02 18:00:00,97809.0390625,97058.3203125,97263.1171875,98114.9609375
2020-06-02 19:00:00,97747.921875,97006.796875,97214.796875,98069.84375
2020-06-02 20:00:00,97687.4375,96955.28125,97166.4765625,98024.71875
2020-06-02 21:00:00,97626.21875,96904.296875,97118.0625,97980.140625
2020-06-02 22:00:00,97567.359375,96830.078125,97052.15625,97902.71875
2020-06-02 23:00:00,97508.5078125,96755.2265625,96986.2734375,97825.3125
2020-06-03 00:00:00,97449.5390625,96681.5390625,96920.2578125,97748.421875
2020-06-03 01:00:00,97447.703125,96674.578125,96908.8203125,97743.3828125
2020-06-03 02:00:00,97446.2109375,96667.96875,96897.09375,97738.6875
2020-06-03 03:00:00,97443.9609375,96661.8828125,96885.2421875,97733.8828125
2020-06-03 04:00:00,97425.7109375,96648.75,96877.8671875,97729.7109375
2020-06-03 05:00:00,97407.4375,96635.6015625,96870.4765625,97725.5234375
2020-06-03 06:00:00,97389.71875,96623,96863,97721.2421875
2020-06-03 07:00:00,97357.359375,96590.640625,96831.28125,97689.5234375
2020-06-03 08:00:00,97325.6484375,96558.90625,96799.546875,97657.171875
2020-06-03 09:00:00,97293.90625,96526.546875,96767.2109375,97625.453125
2020-06-03 10:00:00,97310.3828125,96542.3828125,96774.703125,97630.3828125
2020-06-03 11:00:00,97326.8515625,96557.546875,96782.8515625,97635.328125
2020-06-03 12:00:00,97343.84375,96573.28125,96790.2421875,97640.15625
2020-06-03 13:00:00,97269.3828125,96507.140625,96726.65625,97570.1796875
2020-06-03 14:00:00,97194.53125,96441.2265625,96663.328125,97500.453125
2020-06-03 15:00:00,97119.4609375,96374.5,96599.78125,97430.5
2020-06-03 16:00:00,97112.9375,96372.4609375,96595.1796875,97425.8984375
2020-06-03 17:00:00,97106.21875,96370.21875,96589.7421875,97421.1015625
2020-06-03 18:00:00,97098.9609375,96368.078125,96585.0390625,97416.3984375
2020-06-03 19:00:00,97044.0625,96314.4609375,96530.78125,97362.78125
2020-06-03 20:00:00,96989.703125,96261.3828125,96476.421875,97308.421875
2020-06-03 21:00:00,96934.796875,96207.7578125,96422.15625,97254.15625
2020-06-03 22:00:00,96936.0078125,96203.2109375,96420.8125,97252.8125
2020-06-03 23:00:00,96937.203125,96199.28125,96420.078125,97251.4375
2020-06-04 00:00:00,96939.0390625,96194.71875,96419.359375,97249.4375
2020-06-04 01:00:00,97059.0703125,96307.7109375,96528.5078125,97365.6328125
2020-06-04 02:00:00,97179.421875,96420.3828125,96637.9765625,97481.5
2020-06-04 03:00:00,97299.59375,96533.5078125,96747.2734375,97597.1875
2020-06-04 04:00:00,97269.59375,96490.046875,96710.8671875,97549.90625
2020-06-04 05:00:00,97239.578125,96446.6171875,96675.1015625,97502.6171875
2020-06-04 06:00:00,97209.578125,96403.8203125,96638.703125,97455.34375
2020-06-04 07:00:00,97207.921875,96411.1171875,96641.5234375,97469.0390625
2020-06-04 08:00:00,97206.796875,96417.6796875,96644.2421875,97482.640625
2020-06-04 09:00:00,97205.140625,96424.9765625,96647.0625,97495.703125
2020-06-04 10:00:00,97258.4375,96484.6796875,96702.921875,97552.203125
2020-06-04 11:00:00,97311.8515625,96543.8515625,96758.890625,97608.8125
2020-06-04 12:00:00,97365.2421875,96603,96814.84375,97665.3984375
2020-06-04 13:00:00,97382.5,96629.21875,96835.296875,97687.140625
2020-06-04 14:00:00,97399.4609375,96655.140625,96856.1015625,97708.578125
2020-06-04 15:00:00,97417.296875,96680.65625,96877.140625,97730.2578125
2020-06-04 16:00:00,97323.921875,96590.4765625,96793.359375,97639.4375
2020-06-04 17:00:00,97230.5390625,96500.296875,96708.9375,97548.6171875
2020-06-04 18:00:00,97137.703125,96410.0234375,96625.0625,97457.0625
2020-06-04 19:00:00,97182.1328125,96455.7265625,96661.8125,97501.4921875
2020-06-04 20:00:00,97225.90625,96501.40625,96699.1875,97545.90625
2020-06-04 21:00:00,97270.3203125,96546.4765625,96735.921875,97590.3203125
2020-06-04 22:00:00,97213.9765625,96486.9375,96678.296875,97532.0625
2020-06-04 23:00:00,97157.6484375,96426.7734375,96620.6875,97473.8125
2020-06-05 00:00:00,97101.9375,96367.21875,96562.421875,97416.1796875
2020-06-05 01:00:00,97157.4765625,96425.3203125,96620.5234375,97483.8828125
2020-06-05 02:00:00,97213.3828125,96483.1171875,96677.703125,97551.296875
2020-06-05 03:00:00,97269.0390625,96541.359375,96735.921875,97619.1171875
2020-06-05 04:00:00,97300.5,96558.1015625,96760.34375,97632.65625
2020-06-05 05:00:00,97331.9609375,96574.84375,96784.7578125,97645.5625
2020-06-05 06:00:00,97362.7890625,96591.59375,96809.1875,97659.109375
2020-06-05 07:00:00,97376.609375,96601.546875,96821.09375,97670.3671875
2020-06-05 08:00:00,97389.890625,96612.2890625,96833.09375,97682.3671875
2020-06-05 09:00:00,97403.703125,96622.2578125,96845.6171875,97694.2578125
2020-06-05 10:00:00,97417.71875,96651.640625,96866.6796875,97726.84375
2020-06-05 11:00:00,97431.84375,96681.1171875,96887.84375,97759.5234375
2020-06-05 12:00:00,97446.5,96709.859375,96909.5390625,97792.1015625
2020-06-05 13:00:00,97438.359375,96710.65625,96904.6015625,97788.4375
2020-06-05 14:00:00,97431.0625,96711.703125,96900.5,97784.9765625
2020-06-05 15:00:00,97423.390625,96712.3515625,96896.671875,97781.1484375
2020-06-05 16:00:00,97415.90625,96695.90625,96884.09375,97758.328125
2020-06-05 17:00:00,97408.921875,96679.296875,96871.9609375,97735.9609375
2020-06-05 18:00:00,97401.3515625,96663.4296875,96859.90625,97713.03125
2020-06-05 19:00:00,97339.8671875,96603.2265625,96799.0703125,97652.1875
2020-06-05 20:00:00,97277.75,96543.03125,96738.2265625,97591.3515625
2020-06-05 21:00:00,97215.6328125,96483.46875,96676.75,97530.5078125
2020-06-05 22:00:00,97182.5,96446.5,96642.34375,97495.4609375
2020-06-05 23:00:00,97148.7421875,96410.1796875,96607.9375,97460.421875
2020-06-06 00:00:00,97115.078125,96373.9609375,96573,97425.4765625
2020-06-06 01:00:00,97211.59375,96463.40625,96666.953125,97518.7890625
2020-06-06 02:00:00,97308.078125,96552.8828125,96760.2421875,97611.4375
2020-06-06 03:00:00,97404.921875,96642.6796875,96853.8828125,97703.796875
2020-06-06 04:00:00,97392.3203125,96628.15625,96840.640625,97690.5625
2020-06-06 05:00:00,97380.359375,96614.28125,96827.3984375,97677.3203125
2020-06-06 06:00:00,97367.7578125,96599.7578125,96814.796875,97664.078125
2020-06-06 07:00:00,97331.578125,96555.8984375,96782.4609375,97624.0625
2020-06-06 08:00:00,97294.859375,96511.5,96750.859375,97584.140625
2020-06-06 09:00:00,97258.6796875,96467,96719.15625,97544.7578125
2020-06-06 10:00:00,97342.15625,96558.796875,96798.15625,97632.078125
2020-06-06 11:00:00,97426.1796875,96649.859375,96877.0625,97718.65625
2020-06-06 12:00:00,97509.65625,96741.65625,96956.0625,97805.9765625
2020-06-06 13:00:00,97523.5625,96764.5234375,96974.4375,97825
2020-06-06 14:00:00,97536.8203125,96788.0234375,96992.1796875,97844.0234375
