DateTime,Rch4ox,Kch4ox,vTch4ox,Fsed_ch4,Fsed_ch4.1,Ksed_ch4,theta_sed_ch4,RMSE
2021-04-20 10:13:15,1e-04,5,0.9,300,0.001,0.001,0.85,228.533773130325
2021-04-20 10:12:49,1e-04,5,1.2,0.001,0.001,100,0.85,120.849362848636
2021-04-20 10:12:23,5,5,1.2,0.001,0.001,100,1.15,120.934515002207
2021-04-20 10:11:58,5,1e-04,1.2,0.001,300,0.001,1.15,120.937195888469
2021-04-20 10:11:32,1e-04,1e-04,0.9,0.001,0.001,100,0.85,120.852400454506
2021-04-20 10:11:06,1e-04,5,0.9,300,300,100,1.15,1182.9132370654
2021-04-20 10:10:41,1e-04,5,0.9,0.001,0.001,100,0.85,120.841864814641
2021-04-20 10:10:15,5,5,1.2,0.001,0.001,100,1.15,120.934515002207
2021-04-20 10:09:50,5,1e-04,0.9,300,0.001,100,0.85,7503.03686742258
2021-04-20 10:09:24,5,5,1.2,300,300,0.001,1.15,120.822012057968
2021-04-20 10:08:58,5,1e-04,1.2,300,300,100,1.15,107.27234706723
2021-04-20 10:08:32,5,5,0.9,300,0.001,100,1.15,1227.64175255126
2021-04-20 10:08:07,5,5,1.2,300,300,100,0.85,43541.6726275608
2021-04-20 10:07:41,1e-04,5,0.9,300,300,100,1.15,1180.47824605773
2021-04-20 10:07:15,5,1e-04,1.2,300,0.001,100,0.85,9612.70355579935
2021-04-20 10:06:49,1e-04,1e-04,0.9,0.001,300,100,0.85,107.646819275896
2021-04-20 10:06:23,1e-04,1e-04,1.2,0.001,300,0.001,1.15,120.929060214221
2021-04-20 10:05:57,5,1e-04,0.9,300,300,0.001,1.15,120.935696602838
2021-04-20 10:05:32,1e-04,5,1.2,300,0.001,100,1.15,1127.38869050426
2021-04-20 10:05:06,1e-04,1e-04,1.2,0.001,0.001,100,0.85,120.852430001084
2021-04-20 10:04:40,5,5,0.9,300,300,100,0.85,42843.881268853
2021-04-20 10:04:14,1e-04,1e-04,1.2,0.001,300,0.001,1.15,120.929060214221
2021-04-20 10:03:49,1e-04,1e-04,0.9,300,0.001,0.001,0.85,223.833810104712
