DateTime,Depth,surface_height
11/5/2016,11.5,11.5
11/6/2016,11.5,11.5
11/6/2016,11.5,11.5
11/7/2016,11.4,11.4
11/8/2016,11.4,11.4
11/9/2016,11.4,11.4
11/10/2016,11.4,11.4
11/11/2016,11.4,11.4
11/12/2016,11.3,11.3
11/13/2016,11.3,11.3
11/14/2016,11.3,11.3
11/15/2016,11.2,11.2
11/16/2016,11.2,11.2
11/17/2016,11.2,11.2
11/18/2016,11.2,11.2
11/19/2016,11.2,11.2
11/20/2016,11.2,11.2
11/21/2016,11.2,11.2
11/22/2016,11.2,11.2
11/23/2016,11.2,11.2
11/24/2016,11.2,11.2
11/25/2016,11.2,11.2
11/26/2016,11.2,11.2
11/27/2016,11.2,11.2
11/28/2016,11.2,11.2
11/29/2016,11.2,11.2
11/30/2016,11.2,11.2
12/1/2016,11.2,11.2
12/2/2016,11.2,11.2
12/3/2016,11.2,11.2
12/4/2016,11.2,11.2
12/5/2016,11.2,11.2
12/6/2016,11.2,11.2
12/7/2016,11.2,11.2
12/8/2016,11.2,11.2
12/9/2016,11.2,11.2
12/10/2016,11.2,11.2
12/11/2016,11.2,11.2
12/12/2016,11.1,11.1
12/13/2016,11.1,11.1
12/14/2016,11.1,11.1
12/15/2016,11.1,11.1
12/16/2016,11.1,11.1
12/17/2016,11.1,11.1
12/18/2016,11,11
12/19/2016,11,11
12/20/2016,11,11
12/21/2016,11,11
12/22/2016,11,11
12/23/2016,11,11
12/24/2016,11,11
12/25/2016,11,11
12/26/2016,11,11
12/27/2016,11,11
12/28/2016,11,11
12/29/2016,11,11
12/30/2016,11,11
12/31/2016,11,11
1/1/2017,11,11
1/2/2017,10.9,10.9
1/3/2017,10.9,10.9
1/4/2017,10.9,10.9
1/5/2017,10.9,10.9
1/6/2017,10.9,10.9
1/7/2017,10.9,10.9
1/8/2017,10.9,10.9
1/9/2017,10.9,10.9
1/10/2017,10.9,10.9
1/11/2017,10.9,10.9
1/12/2017,10.9,10.9
1/13/2017,10.9,10.9
1/14/2017,10.9,10.9
1/15/2017,10.9,10.9
1/16/2017,10.9,10.9
1/17/2017,10.9,10.9
1/18/2017,10.9,10.9
1/19/2017,10.9,10.9
1/20/2017,10.9,10.9
1/21/2017,10.9,10.9
1/22/2017,10.9,10.9
1/23/2017,11,11
1/24/2017,11,11
1/25/2017,11,11
1/26/2017,11,11
1/27/2017,11,11
1/28/2017,11,11
1/29/2017,11,11
1/30/2017,11,11
1/31/2017,11,11
2/1/2017,11,11
2/2/2017,11,11
2/3/2017,11,11
2/4/2017,11,11
2/5/2017,11,11
2/6/2017,11,11
2/7/2017,11,11
2/8/2017,11,11
2/9/2017,11,11
2/10/2017,11,11
2/11/2017,11,11
2/12/2017,11,11
2/13/2017,11,11
2/14/2017,11,11
2/15/2017,11,11
2/16/2017,11,11
2/17/2017,11,11
2/18/2017,11,11
2/19/2017,11,11
2/20/2017,11,11
2/21/2017,11,11
2/22/2017,11,11
2/23/2017,11,11
2/24/2017,11,11
2/25/2017,11,11
2/26/2017,11,11
2/27/2017,11,11
2/28/2017,11,11
3/1/2017,11,11
3/2/2017,11,11
3/3/2017,11,11
3/4/2017,11,11
3/5/2017,11,11
3/6/2017,11,11
3/7/2017,11,11
3/8/2017,11,11
3/9/2017,11,11
3/10/2017,11,11
3/11/2017,11,11
3/13/2017,11,11
3/14/2017,10.9,10.9
3/15/2017,10.9,10.9
3/16/2017,10.9,10.9
3/17/2017,10.9,10.9
3/18/2017,10.9,10.9
3/19/2017,10.9,10.9
3/20/2017,10.9,10.9
3/21/2017,10.9,10.9
3/22/2017,10.9,10.9
3/23/2017,10.9,10.9
3/24/2017,10.9,10.9
3/25/2017,10.9,10.9
3/26/2017,10.9,10.9
3/27/2017,10.9,10.9
3/28/2017,10.9,10.9
3/29/2017,10.9,10.9
3/30/2017,10.9,10.9
3/31/2017,10.9,10.9
4/1/2017,10.9,10.9
4/2/2017,10.9,10.9
4/3/2017,10.9,10.9
4/4/2017,10.9,10.9
4/5/2017,10.9,10.9
4/6/2017,10.9,10.9
4/7/2017,10.9,10.9
4/8/2017,10.9,10.9
4/9/2017,10.9,10.9
4/10/2017,10.9,10.9
4/11/2017,10.9,10.9
4/12/2017,10.9,10.9
4/13/2017,10.9,10.9
4/14/2017,10.9,10.9
4/15/2017,10.9,10.9
4/16/2017,10.9,10.9
4/17/2017,10.8,10.8
4/18/2017,10.8,10.8
4/19/2017,10.8,10.8
4/20/2017,10.9,10.9
4/21/2017,10.9,10.9
4/22/2017,10.9,10.9
4/23/2017,11,11
4/24/2017,11.1,11.1
4/25/2017,11.1,11.1
4/26/2017,11.1,11.1
4/27/2017,11.2,11.2
4/28/2017,11.2,11.2
4/29/2017,11.2,11.2
4/30/2017,11.2,11.2
5/1/2017,11.2,11.2
5/2/2017,11.2,11.2
5/3/2017,11.2,11.2
5/4/2017,11.2,11.2
5/5/2017,11.2,11.2
5/6/2017,11.2,11.2
5/7/2017,11.2,11.2
5/8/2017,11.2,11.2
5/9/2017,11.2,11.2
5/10/2017,11.2,11.2
5/11/2017,11.2,11.2
5/12/2017,11.2,11.2
5/13/2017,11.2,11.2
5/14/2017,11.2,11.2
5/15/2017,11.2,11.2
5/16/2017,11.2,11.2
5/17/2017,11.2,11.2
5/18/2017,11.2,11.2
5/19/2017,11.2,11.2
5/20/2017,11.2,11.2
5/21/2017,11.2,11.2
5/22/2017,11.2,11.2
5/23/2017,11.2,11.2
5/24/2017,11.2,11.2
5/25/2017,11.2,11.2
5/26/2017,11.2,11.2
5/27/2017,11.2,11.2
5/28/2017,11.2,11.2
5/29/2017,11.2,11.2
5/30/2017,11.2,11.2
5/31/2017,11.2,11.2
6/1/2017,11.2,11.2
6/2/2017,11.2,11.2
6/3/2017,11.2,11.2
6/4/2017,11.2,11.2
6/5/2017,11.2,11.2
6/6/2017,11.2,11.2
6/7/2017,11.2,11.2
6/8/2017,11.2,11.2
6/9/2017,11.2,11.2
6/10/2017,11.2,11.2
6/11/2017,11.2,11.2
6/12/2017,11.2,11.2
6/13/2017,11.2,11.2
6/14/2017,11.2,11.2
6/15/2017,11.2,11.2
6/16/2017,11.2,11.2
6/17/2017,11.2,11.2
6/18/2017,11.2,11.2
6/19/2017,11.2,11.2
6/20/2017,11.1,11.1
6/21/2017,11.1,11.1
6/22/2017,11.1,11.1
6/23/2017,11.1,11.1
6/24/2017,11.1,11.1
6/25/2017,11,11
6/26/2017,11,11
6/27/2017,11,11
6/28/2017,10.9,10.9
6/29/2017,10.9,10.9
6/30/2017,10.8,10.8
7/1/2017,10.8,10.8
7/2/2017,10.8,10.8
7/3/2017,10.7,10.7
7/4/2017,10.7,10.7
7/5/2017,10.6,10.6
7/6/2017,10.6,10.6
7/7/2017,10.5,10.5
7/8/2017,10.4,10.4
7/9/2017,10.4,10.4
7/10/2017,10.3,10.3
